X,Y,Z,A,Ay,Az,
126,82,49,9,-1,2,1
117,82,25,10,0,2,1
116,82,-6,9,0,2,1
115,80,-26,10,1,1,1
113,78,-13,9,0,1,1
106,74,1,8,0,2,1
104,71,8,9,-1,2,1
113,71,12,10,-1,0,1
121,70,5,10,0,1,1
114,69,-13,9,1,3,0
108,69,-16,7,1,4,0
104,72,-3,7,-5,0,0
84,74,-16,10,1,0,0
83,75,-2,11,0,1,0
76,77,21,9,0,1,0
60,76,52,9,-1,0,0
38,72,66,10,-1,0,0
20,66,70,9,-1,0,0
18,64,79,9,-2,0,0
20,66,81,10,-2,0,0
22,70,77,9,-1,0,0
39,77,70,9,-1,0,0
58,82,32,12,0,0,0
80,77,0,11,0,0,0
107,70,18,9,-1,0,0
131,64,47,8,-3,0,0
149,60,71,8,-4,0,0
160,58,86,8,-6,0,0
166,57,92,8,-4,0,0
170,55,96,7,-5,0,0
170,55,96,8,-4,0,0
172,55,97,8,-5,0,0
174,56,96,8,-5,0,0
175,57,95,8,-5,0,0
178,57,97,8,-5,0,0
179,58,96,8,-5,0,0
180,58,97,8,-5,0,0
181,58,98,8,-5,0,0
181,58,97,8,-5,0,0
180,58,96,8,-5,0,0
179,58,95,8,-5,0,0
179,58,95,8,-5,0,0
177,58,94,8,-5,0,0
177,58,95,8,-5,0,0
177,58,95,8,-5,0,0
178,59,94,8,-5,0,0
178,59,94,8,-5,0,0
179,59,94,8,-5,0,0
177,59,92,8,-5,0,0
175,59,89,8,-5,0,0
168,59,81,8,-4,0,0
165,60,78,8,-4,0,0
165,61,77,8,-4,0,0
161,61,76,8,-4,0,0
158,62,77,8,-4,0,0
155,63,78,8,-4,0,0
150,63,78,8,-4,1,0
147,62,78,8,-4,1,0
146,62,79,8,-4,1,0
146,62,80,8,-4,1,0
147,62,80,8,-4,0,0
149,62,80,8,-4,0,0
150,62,80,8,-4,0,0
152,63,78,8,-4,0,0
153,63,78,8,-4,0,0
153,63,78,8,-4,0,0
153,63,78,8,-4,0,0
153,63,79,8,-4,0,0
153,63,79,8,-4,0,0
151,63,76,8,-4,0,0
141,63,64,7,-3,1,0
133,65,54,7,-2,2,0
131,69,42,9,-2,3,0
129,75,23,11,1,4,0
128,78,15,11,1,4,0
133,75,21,11,-1,3,1
134,67,16,12,-1,0,1
138,50,6,7,1,4,1
150,34,19,3,-4,1,1
148,27,6,2,0,11,1
146,29,-4,7,3,12,1
142,33,-7,7,1,10,1
142,28,-2,5,-1,7,1
143,21,6,2,-3,5,1
143,26,9,4,-3,9,1
137,30,1,7,0,11,1
134,25,-4,4,0,7,0
135,21,-5,1,1,6,0
135,22,-5,3,1,15,0
136,12,0,1,0,8,0
136,2,4,0,0,3,0
136,8,6,3,-1,2,0
135,23,-2,5,1,7,0
134,36,-6,11,0,9,0
129,47,-15,6,2,9,0
125,53,-17,8,2,6,0
123,56,-17,-4,3,5,0
124,55,-16,8,1,5,0
125,55,-13,8,0,5,0
126,55,-12,8,0,4,0
126,54,-12,8,1,5,0
126,54,-11,7,0,5,0
126,54,-11,8,0,5,0
126,54,-11,7,0,5,0
125,53,-11,7,0,5,0
125,53,-10,7,0,5,1
125,54,-9,7,0,5,1
126,54,-8,9,0,4,1
126,55,-10,9,2,10,1
130,47,-6,8,0,7,1
136,35,8,7,-1,5,1
137,25,16,1,-1,5,1
136,25,15,5,-1,6,1
134,26,8,4,-1,9,1
133,26,7,4,-1,9,0
134,26,6,3,0,8,0
135,26,5,4,-1,8,0
135,26,6,4,-1,8,0
134,27,6,4,-1,8,0
134,28,6,4,0,8,0
133,28,6,4,0,8,0
132,29,5,4,0,8,0
132,29,4,4,0,8,0
132,29,4,4,-1,13,0
131,23,2,5,-1,21,0
128,-6,4,1,-1,10,0
126,-39,6,-3,0,4,0
123,-64,4,0,-1,3,0
130,-71,15,0,-2,5,1
143,-47,34,0,-9,11,1
161,18,29,20,-1,11,1
138,77,81,22,4,26,1
132,66,142,5,0,5,1
112,55,141,5,-4,0,1
105,51,144,6,-4,-3,1
99,49,144,6,-4,-3,1
96,48,144,6,-4,-4,1
95,48,141,7,-4,-4,0
95,48,140,7,-4,-4,0
99,49,139,7,-4,-4,0
99,49,135,7,-3,-3,0
114,54,137,5,0,-2,0
121,57,135,10,-2,-3,0
133,62,137,10,-3,-1,0
144,68,138,8,-2,0,0
153,72,141,8,-3,-1,0
148,72,133,9,-2,0,0
132,68,120,9,-3,-1,0
122,66,110,8,-4,-2,0
116,66,98,6,-4,-2,0
111,65,81,9,-4,0,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
